dimension,prompt_idx,human_mean,ai_mean,diff,t,p
16_human,25,0.1861192,0.15788732,0.028231874,3.9772657707190464,7.219584386216951e-05
16_human,26,0.19336487,0.1659374,0.02742748,3.980606653401608,7.119647810226455e-05
16_human,27,0.18143977,0.15445954,0.026980236,3.933514499966016,8.657131304135232e-05
16_human,28,0.18884063,0.16150644,0.027334183,3.9745347072797834,7.302264240788749e-05
16_human,29,0.18690939,0.15995938,0.026950017,3.936574256172618,8.54838148725092e-05
16_human,30,0.18527111,0.15767261,0.0275985,3.9835256674099186,7.03340401969946e-05
16_human,31,0.18381995,0.1573421,0.026477844,3.929911352752786,8.786871538526452e-05
16_human,32,0.19072287,0.16383001,0.026892856,3.987203909750811,6.926136436979014e-05
16_human,33,0.18833807,0.16080353,0.027534544,3.971572237497553,7.392962691807872e-05
16_human,34,0.19191672,0.16429383,0.027622893,3.9800850855705523,7.135162844706715e-05
16_human,35,0.19518809,0.16771422,0.027473867,3.993739587421165,6.739349236778617e-05
16_human,36,0.18744816,0.16004954,0.027398616,3.945282535913254,8.245898665288273e-05
16_human,37,0.19504713,0.1673747,0.027672425,4.000006694454098,6.564725865786416e-05
16_human,38,0.19231085,0.16534664,0.026964217,3.9926717924405537,6.769536850917079e-05
16_human,39,0.17993955,0.15302141,0.026918143,3.9721918651614705,7.373904545660963e-05
17_ai,0,0.1843147,0.15697762,0.027337074,3.9113627216243687,9.484364612343697e-05
17_ai,1,0.18149184,0.15457557,0.026916265,3.8763321658119616,0.0001094665611256843
17_ai,2,0.18051209,0.15346803,0.027044058,3.8962486743396916,0.00010091062971039957
17_ai,3,0.18662727,0.15948655,0.027140722,3.8847315963459064,0.00010577792456664338
17_ai,4,0.18671858,0.1587541,0.027964488,3.952561078987847,8.00087321824246e-05
17_ai,5,0.1827934,0.15523833,0.027555063,3.903967096695088,9.776795332552663e-05
17_ai,6,0.19184375,0.16361019,0.028233558,3.9451316570798127,8.251052172280232e-05
17_ai,7,0.1923977,0.16490476,0.02749294,3.917310661150176,9.255194465124689e-05
17_ai,8,0.17944625,0.15235181,0.027094439,3.8906605071028637,0.0001032452360970042
17_ai,9,0.18270074,0.1553084,0.027392343,3.9176079413375096,9.243878912271369e-05
17_ai,10,0.18969303,0.16193542,0.027757615,3.895257231573151,0.00010132115902659197
17_ai,11,0.18579628,0.15812384,0.02767244,3.8998086390779814,9.944945910163299e-05
17_ai,12,0.19824323,0.17004569,0.028197542,3.967302415682491,7.525564413264976e-05
17_ai,13,0.1815717,0.15427297,0.027298734,3.9007465565631056,9.906783532039186e-05
17_ai,14,0.1829256,0.1556614,0.027264193,3.896187214982851,0.00010093603259664859
17_ai,15,0.19605702,0.16885947,0.027197555,3.8844552136589123,0.00010589740825155105
17_ai,16,0.18402036,0.15653965,0.027480707,3.8921383515719685,0.00010262291373109364
17_ai,17,0.18713267,0.15951212,0.027620554,3.8993664801270214,9.96298478842219e-05
17_ai,18,0.19645208,0.16851099,0.027941093,3.963166785633295,7.656142122747474e-05
